id,image_title_vernacular,image_title_latin,image_subject,church_or_sanctuary,locality,diocese_latin,diocese_modern,country,first_coronation,coronation_dates,strongest_evidence,popes,legates,confidence,source_count
maria-plain-mons-plain-near-salzburg,Maria Plain,Deiparae Simulacrum in monte « Plain »,Blessed Virgin Mary,"Ecclesia B. Mariae V. in Caelum Assumptae in monte « Plain » (Basilica Minor), entrusted to Benedictine monks","Mons « Plain », near Salzburg",Salisburgensis,Salzburg,Austria,,,retrospective_attestation,Pius PP. XII,,medium,1
matka-boza-bialynicka-bialynicze-byalynichy,Matka Boża Białynicka,,Blessed Virgin Mary with Child (Our Lady of the Snows type),,Białynicze (Byalynichy),,,Belarus,1761-09-29,1761-09-29,chapter_decree,,,medium,1
image-brest-brzesc,,,Blessed Virgin Mary,Ecclesia Exaltationi Sanctae Crucis dicata,Brest (Brześć),Pinskensis Latinorum,Pinsk,Belarus,,,papal_coronation_act,Ioannes Paulus PP. II,,medium,1
matka-boza-budslawska-budslaw-budslau,Matka Boża Budsławska,,Blessed Virgin Mary,Sanctuarium Budslaviense; ecclesia Beatae Mariae Virgini in caelum assumptae,Budslaw (Budsłaŭ),Minscensis Latinorum-Mohiloviensis Latinorum,Minsk-Mohilev,Belarus,1995,1995,papal_coronation_act,Ioannes Paulus PP. II,,medium,2
matka-boza-lahiszynska-lahiszyn-logishin,Matka Boża Łahiszyńska,,Blessed Virgin Mary,Ecclesia paroecialis Sanctorum Apostolorum Petri et Pauli,Lahiszyn (Logishin),Pinskensis Latinorum,Pinsk,Belarus,,,papal_coronation_act,Ioannes Paulus PP. II,,medium,1
matka-boza-zyrowicka-zyrowice-zhyrovichy,Matka Boża Żyrowicka,,Blessed Virgin Mary with Child (Glykophilousa; jasper relief),,Żyrowice (Zhyrovichy),,,Belarus,1730-09-19,1730-09-19,chapter_decree,,,medium,1
notre-dame-reine-de-la-paix-notre-dame-d-arlon-a,"Notre Dame Reine de la Paix, Notre Dame d’Arlon",,Blessed Virgin Mary,Saint-Donat,Arlon,,,Belgium,1904-09-14,1904-09-14,chapter_decree,,,medium,1
imago-ssmi-iesu-cordis-berchem-suburb-of-antwerp,,Imago SSmi Iesu Cordis,Sacred Heart of Jesus,"Templum SS. Iesu Cordi dicatum, Basilica minor, served by the Congregation of the Daughters of the Sacred Heart","Berchem, suburb of Antwerp (suburbium Antverpiae civitatis vulgo Berchem)",Mechliniensis,Mechelen (Malines),Belgium,,,papal_coronation_act,Leo PP. XIII,"Petrus Lambertus S. R. E. Presb. Card. Goossens, Archiepiscopus Mechliniensis",high,1
notre-dame-de-bonsecours-bonsecours,Notre-Dame de Bonsecours,vetus ac celeberrimum Simulacrum Deiparae Virginis de bono Succursu,Blessed Virgin Mary,Ecclesia parochialis Deiparae Virgini de bono Succursu dicata,Bonsecours,Tornacensis,Tournai,Belgium,,,retrospective_attestation,Pius PP. X,,high,1
notre-dame-de-chevremont-chevremont,Notre-Dame de Chèvremont,Beata Maria Virgo Mater Gratiarum,Blessed Virgin Mary,Sanctuarium Caprimontense B. M. V. Matris Gratiarum (Discalced Carmelites),Chèvremont,Leodiensis,Liège,Belgium,1923,1923,retrospective_attestation,Pius PP. XI,,high,1
notre-dame-de-hal-onze-lieve-vrouw-van-halle-hal,Notre-Dame de Hal / Onze-Lieve-Vrouw van Halle,Beata Maria Virgo Hallensis,Blessed Virgin Mary,Ecclesia paroecialis Sancti Martini,Halle (Hal),Mechliniensis,Mechelen,Belgium,1874-10-04,1874-10-04,retrospective_attestation,Pius PP. XII,,high,1
virga-jesse-hasselt,Virga Jesse,,Blessed Virgin Mary,Basiliek Virga Jesse,Hasselt,,,Belgium,1867-08-15,1867-08-15,chapter_decree,,,medium,1
notre-dame-de-la-sarte-huy,Notre Dame De La Sarte,,Blessed Virgin Mary,Notre-Dame de la Sarte,Huy,,,Belgium,1900,1900,chapter_decree,,,medium,1
onze-lieve-vrouw-van-hanswijk-notre-dame-de-hans,Onze-Lieve-Vrouw van Hanswijk / Notre-Dame de Hanswijk,imago perantiqua Beatae Mariae Virginis,Blessed Virgin Mary,templum « Notre-Dame de Hanswijk »,Mechelen (Malines),Mechliniensis-Bruxellensis,Mechelen-Brussels,Belgium,1876-07-30,1876-07-30,retrospective_attestation,Ioannes Paulus PP. II,,high,1
notre-dame-du-rempart-namur,Notre-Dame du Rempart,Domina Nostra ad moenia,Blessed Virgin Mary,,Namur,Namurcensis,Namur,Belgium,,,retrospective_attestation,Pius PP. XII,,medium,1
onze-lieve-vrouw-van-scherpenheuvel-notre-dame-d,Onze-Lieve-Vrouw van Scherpenheuvel (Notre-Dame de Montaigu),Beata Maria Virgo Aspricollis,Blessed Virgin Mary,Templum Aspricollense (sanctuary of Our Lady of Scherpenheuvel/Montaigu),"Scherpenheuvel (Aspricollis), near Leuven",Mechliniensis,Mechelen (Malines),Belgium,1872,1872; 1927,papal_legate_deputation,Pius PP. XI,"Iosephus Ernestus Card. Van Roey, Archiepiscopus Mechliniensis",high,2
notre-dame-de-tongre-tongre-notre-dame,Notre-Dame de Tongre,"Durateum signum Beatae Mariae Virginis, seculo XI exsculptum",Blessed Virgin Mary,Paroeciale templum loci « Tongre-Notre-Dame »,Tongre-Notre-Dame,Tornacensis,Tournai,Belgium,1881-09-08,1881-09-08,retrospective_attestation,Pius PP. XII,"Bishop of Tournai (unnamed), acting in the name of Leo XIII",high,1
signum-beatae-mariae-virginis-durateum-argento-o,,"signum Beatae Mariae Virginis, durateum, argento obductum, arte « Romanica » conspicuum",Blessed Virgin Mary,"Ecclesia Sancti Materni, Walcourt",Walcourt,Namurcensis,Namur,Belgium,1875,1875,retrospective_attestation,Pius PP. XII,,medium,1
nuestra-senora-de-copacabana-copacabana,Nuestra Señora de Copacabana,Deiparae Virginis statua de « Copacabana »,Blessed Virgin Mary,"templum Beatae Mariae Virginis de Copacabana (17th cent., entrusted to the Friars Minor; made Basilica Minor by Pius XII)",Copacabana,Pacensis,La Paz,Bolivia,,,retrospective_attestation,Paulus PP. VI; Pius PP. XII,"Caietanus S. R. E. Cardinalis Cicognani (then Nuncio in Bolivia, acting as Legatus extraordinarius)",high,3
nossa-senhora-da-conceicao-aparecida-aparecida,Nossa Senhora da Conceição Aparecida,"augustum simulacrum Nostrae Dominae « da Conceiçâo Aparecida », Brasiliae Patronae",Blessed Virgin Mary,templum ingenti mole conspicuum in quo antiqua effigies servatur (shrine of Apparecida),Aparecida,Apparitionopolitana,Aparecida,Brazil,1904-09-08,1904-09-08,chapter_decree,Paulus PP. VI; Pius PP. XI; Pius PP. XII,,high,4
nossa-senhora-de-nazare-belem-do-para,Nossa Senhora de Nazaré,simulacrum Nostrae Dominae de Nazareth,Blessed Virgin Mary,Basilica Nostrae Dominae de Nazareth,Belém do Pará,Belemensis de Para,Belém do Pará,Brazil,1953,1953,papal_legate_deputation,Pius PP. XII,"Augustus Alvarus Cardinalis da Silva, Archiepiscopus Sancti Salvatoris in Brasilia (Legatus a Latere)",high,1
vetus-nobilisque-imago-beatae-mariae-virginis-qu,,"vetus nobilisque imago Beatae Mariae Virginis, quae est « decor Carmeli »",Blessed Virgin Mary,"Cathedralis (metropolitana) ecclesia Marianensis, B. M. V. in caelum Assumptae consecrata",Mariana (Minas Gerais),Marianensis,Mariana,Brazil,,,retrospective_attestation,Paulus PP. VI,,medium,1
nossa-senhora-da-apresentacao-natal,Nossa Senhora da Apresentação,simulacrum Beatae Mariae Virginis a Praesentatione,Blessed Virgin Mary,,Natal,Natalensis,Natal,Brazil,,,papal_coronation_act,Pius PP. XII,"Marcolinus de Souza Dantas, Archbishop of Natal (commissioned to impose the crown in the Pope's name)",high,1
simulacrum-cedrino-ligno-sculptum-beatae-mariae,,"simulacrum, cedrino ligno sculptum, Beatae Mariae Virginis de Monte Carmelo",Blessed Virgin Mary,Templum Carmelitarum B. Mariae Virgini de Monte Carmelo sacrum,Recife,Olindensis (archidioecesis),Olinda e Recife,Brazil,1919-09-21,1919-09-21,retrospective_attestation,Benedictus PP. XV,,high,1
nossa-senhora-do-pilar-sao-joao-del-rei,Nossa Senhora do Pilar,imago Beatae Mariae Virginis a Columna,Blessed Virgin Mary,"Cathedralis ecclesia dioecesis Sancti Ioannis a Rege, B. M. V. a Columna consecrata",São João del-Rei,Sancti Ioannis a Rege,São João del-Rei,Brazil,,,retrospective_attestation,Paulus PP. VI,,medium,1
notre-dame-du-cap-cap-de-la-madeleine,Notre-Dame du Cap,Simulacrum Beatae Mariae Virginis a Rosario,Blessed Virgin Mary,Sanctuarium/ecclesia « Notre-Dame-du-Cap » apud oppidum « Cap-de-la-Madeleine »,Cap-de-la-Madeleine,Trifluvianensis,Trois-Rivières,Canada,1904,1904; 1954,papal_legate_deputation,Paulus PP. VI; Pius PP. XII,"Valerius Cardinalis Valeri, Praefectus S. Congregationis de Religiosis; Valerius S. R. E. Presbyter Cardinalis Valeri (Valerio Valeri) — for the 1954 coronation only",high,2
simulacrum-sancti-ioseph-sponsi-b-m-v-montreal,,"Simulacrum Sancti Ioseph, Sponsi B. M. V.",St Joseph,"Oratorium Sancti Ioseph (Saint Joseph's Oratory), templum sodalibus a Sancta Cruce concreditum",Montreal,Marianopolitana (archidioecesis),Montréal,Canada,,,papal_legate_deputation,Pius PP. XII,"Paulus Aemilius S. R. E. Presb. Cardinalis Léger, Archiepiscopus Marianopolitanus",high,1
virgen-del-carmen-de-maipu-maipu,Virgen del Carmen de Maipú,B. M. V. a Carmelo,Blessed Virgin Mary,Templo Votivo Nacional dedicated to the Virgen del Carmen (templum nationale votivum B. M. V. a Carmelo),Maipú,,,Chile,,,papal_personal_coronation,Paulus PP. VI,,medium,1
nuestra-senora-del-carmen-santiago-de-chile,Nuestra Señora del Carmen,Imago Beatissimae Virginis de Monte Carmelo,Blessed Virgin Mary,"Templum Sanctissimi Salvatoris, ad honorem Sacratissimi Cordis Iesu dicatum",Santiago de Chile,Sancti Iacobi in Chile,Santiago de Chile,Chile,1926,1926,papal_legate_deputation,Pius PP. XI,"Benedictus Aloisi Masella, Archiepiscopus tit. Caesariensis, Nuntius Apostolicus in Chile",high,2
nuestra-senora-de-la-merced-santiago-de-chile,Nuestra Señora de la Merced,lignea imago Beatae Mariae Virginis de Mercede,Blessed Virgin Mary,Templum Beatae Mariae Virgini de Mercede dicatum (Ordinis Redemptionis Captivorum),Santiago de Chile,Sancti Iacobi de Chile,Santiago de Chile,Chile,,,retrospective_attestation,Pius PP. XI,,high,1
nuestra-senora-de-la-visitacion-ancuya,Nuestra Señora de la Visitación,Imago Beatae Mariae Virginis Dominae Nostrae a Visitatione,Blessed Virgin Mary,,Ancuya,Ipialensis,Ipiales,Colombia,,,papal_coronation_act,Ioannes Paulus PP. II,"Alonsus Arteaga Yepes, Episcopus Ipialensis (granted the faculty to crown 'nomine atque auctoritate Nostra')",high,1
nuestra-senora-de-las-mercedes-cali,Nuestra Señora de las Mercedes,Imago B. M. Virginis de Mercede,Blessed Virgin Mary,,Cali,Caliensis,Cali,Colombia,1986-07-04,1986-07-04,papal_personal_coronation,Ioannes Paulus PP. II,,high,1
virgen-de-la-candelaria-nuestra-senora-de-la-can,Virgen de la Candelaria (Nuestra Señora de la Candelaria del Cerro de la Popa),Imago Beatae Mariae Virginis sub nomine « Nuestra Señora de la Candelaria »,Blessed Virgin Mary,Santuario del Cerro de la Popa,Cartagena de Indias,Carthaginiensis in Columbia,Cartagena,Colombia,1986-07-06,1986-07-06,papal_personal_coronation,Ioannes Paulus PP. II,,high,2
del-amparo-de-chinavita-chinavita,del Amparo de Chinavita,Imago B. M. V. « del Amparo de Chinavita »,Blessed Virgin Mary,,Chinavita,Garagoënsis,Garagoa,Colombia,,,papal_coronation_act,Ioannes Paulus PP. II,,high,1
nuestra-senora-del-rosario-de-chiquinquira-chiqu,Nuestra Señora del Rosario de Chiquinquirá,Beata Maria Virgo a Rosario de Chinquinquira,Blessed Virgin Mary,Sanctuarium Nostrae Dominae a Rosario (Ordo Praedicatorum),Chiquinquirá,Tunquensis,Tunja,Colombia,1919,1919,retrospective_attestation,Pius PP. XI,,high,1
nuestra-senora-del-rosario-de-iles-iles,Nuestra Señora del Rosario de Iles,Imago B. M. V. a Rosario,Blessed Virgin Mary,sacra aedes in oppido Iles,Iles,Ipialensis,Ipiales,Colombia,,,papal_coronation_act,Ioannes Paulus PP. II,,high,1
nuestra-senora-del-rosario-de-las-lajas-ipiales,Nuestra Señora del Rosario de las Lajas,"Nostra Domina SS. Rosarii, « de las Lajas » seu a rupe appellata",Blessed Virgin Mary,,Ipiales,Ipialensis,Ipiales,Colombia,1952,1952,retrospective_attestation,Paulus PP. VI,,high,1
de-las-lajas-las-lajas,de Las Lajas,Beata Maria Virgo de Rupe,Blessed Virgin Mary,Templum B. Mariae V. de Rupe (sanctuary of Las Lajas),Las Lajas,Pastopolitana,Pasto,Colombia,1952,1952,retrospective_attestation,Pius PP. XII,,high,1
nuestra-senora-de-la-asuncion-marinilla-marinill,Nuestra Señora de la Asunción (Marinilla),imago B. V. Mariae in caelum Assumptae,Blessed Virgin Mary,templum paroeciale loci « Marinilla »,Marinilla,Sonsonensis-Rivi Nigri,Sonsón-Rionegro,Colombia,,,papal_coronation_act,Ioannes Paulus PP. II,,medium,1
nuestra-senora-de-mongui-mongui,Nuestra Señora de Monguí,Beata Maria Virgo « de Mongui »,Blessed Virgin Mary,paroeciale templum Beatae Mariae Virginis « de Mongui » (completed 1760),Monguí,Duitamensis,Duitama,Colombia,1929,1929,retrospective_attestation,Paulus PP. VI,,high,1
nuestra-senora-de-las-misericordias-santa-rosa-d,Nuestra Señora de las Misericordias,Imago B. M. V. a Misericordiis,Blessed Virgin Mary,,Santa Rosa de Osos,S. Rosae de Osos,Santa Rosa de Osos,Colombia,,,papal_coronation_act,Ioannes Paulus PP. II,,high,1
beata-maria-virgo-ab-angelis-angelorum-regina-ca,,"Beata Maria Virgo ab Angelis, Angelorum Regina",Blessed Virgin Mary,"Sanctuarium Marianum B. Mariae Virginis ab Angelis (templum Dei Genitrici, Angelorum Reginae, dicatum)",Cartago,S. Iosephi de Costarica (archidioecesis),San Jose de Costa Rica,Costa Rica,1924,1924,retrospective_attestation,Pius PP. XI,,high,1
madonna-di-tersatto-vera-effigie-della-madre-di,Madonna di Tersatto (Vera Effigie della Madre di Dio dipinta da S. Luca),Sacrae Imagines Jesu et Beatae Mariae Virginis existentes in Ecclesia FF. Reformatorum S. Francisci Loci Tarsacti in Dalmatia; Sacra Icon Beatissimae Virginis Mariae,Blessed Virgin Mary,"Chiesa dei PP. Francescani Riformati (Ordinis S. Francisci Reformatorum, Provinciae Croatiae et Carnioliae) sul Monte di Tersatto","Tersatto (Trsat), near Fiume (Rijeka) — 'Loci Tarsacti in Dalmatia'",Segniensis et Modrusiensis,"Segna e Modrussa (Episcopus Segnensis et Modrusiensis, 'in cujus Dioecesi praefata Ecclesia ... de Tersacto sita reperitur')",Croatia,1715-09-08,1715-09-08,chapter_decree,Pius PP. XI,"Gio. Francesco Barbarigo, bishop of Verona (later of Brescia), deputed 17 June 1713; unable to go (plague suspicion) he subdelegated (Venice 14 Sept 1714; Brescia 24 July 1715) the bishop of Segna and Modruš, who being ill was replaced by Georgius Franciscus Xaverius de Marotti, bishop of Dardania, coadjutor of Pedena (Petina), who performed the crowning",high,3
virgen-de-la-caridad-del-cobre-el-cobre,Virgen de la Caridad del Cobre,,Blessed Virgin Mary,Santuario del Cobre,El Cobre,,Santiago de Cuba,Cuba,1998,1998,papal_personal_coronation,Ioannes Paulus PP. II,,high,2
santa-maria-annunziata-nella-chiesa-di-s-tommaso,Santa Maria Annunziata nella Chiesa di S. Tommaso degli Agostiniani di Bruna,,Blessed Virgin Mary with Child (Hodegetria),St Thomas (Augustinians),"Brno, St Thomas (Augustinians)",,,Czech Republic,1736-05-10,1736-05-10,chapter_decree,,,medium,2
nostra-signora-di-svata-hora-svata-hora-pribram,Nostra Signora di Svatá Hora,,Blessed Virgin Mary with Child (standing; wooden statuette),Svatá Hora,"Svatá Hora, Příbram",,,Czech Republic,1732-06-22,1732-06-22,chapter_decree,,,medium,2
panna-maria-svatokopecka-svaty-kopecek-olomouc,Panna Maria Svatokopecká,Beata Maria Virgo sub titulo Matris Dei,Blessed Virgin Mary,Sacra aedes Visitationis B.M.V. (basilica of the Visitation),Svatý Kopeček (Olomouc),Olomucensis,Olomouc,Czech Republic,1732-09-21,1732-09-21; 1995-05-21,chapter_decree,Ioannes Paulus PP. II,,medium,3
panna-maria-zarosicka-zarosice,Panna Maria Žarošická,Antiqua Mater Dei-Thaumaturga Moraviae,Blessed Virgin Mary,Sanctuarium mariale loci « Zarosice » (Žarošice),Žarošice,Brunensis,Brno,Czech Republic,1995-05-21,1995-05-21,papal_coronation_act,Ioannes Paulus PP. II,,high,2
nuestra-senora-de-la-altagracia-santo-domingo,Nuestra Señora de la Altagracia,,Blessed Virgin Mary,,Santo Domingo,,,Dominican Republic,1979-01-25,1979-01-25,papal_personal_coronation,Ioannes Paulus PP. II,,high,1
imago-almae-deiparae-ab-elevatione-ecuador,,Imago Almae Deiparae ab Elevatione,Blessed Virgin Mary,Sanctuarium Beatae Mariae Virginis ab Elevatione,,Ambatensis,Ambato,Ecuador,1954,1954,retrospective_attestation,Ioannes PP. XXIII,,medium,1
nuestra-senora-del-rosario-de-agua-santa-de-bano,Nuestra Señora del Rosario de Agua Santa de Baños,"Beata Maria Virgo a Rosario, vulgo « de Agua Santa de Baños »",Blessed Virgin Mary,Templum B. M. V. « Nuestra Señora de Agua Santa de Baños » (served by the Dominicans),Baños (« Baños de Tungurahua »),,,Ecuador,1959-12-13,1959-12-13,papal_coronation_act,Ioannes PP. XXIII; Pius PP. XII,"Carolus Maria S. R. E. Cardinalis de la Torre, Archiepiscopus Quitensis (in person or through a bishop delegated by him); unnamed « Cardenal Legado » (« Nuestro amadísimo Cardenal Legado »)",high,2
nuestra-senora-del-quinche-el-quinche,Nuestra Señora del Quinche,Imago Beatae Mariae Virginis « Del Quinche »,Blessed Virgin Mary,Templum B. M. V. « Del Quinche » (Congregation of the Oblates of the Most Holy Hearts of Jesus and Mary),El Quinche,Quitensis,Quito,Ecuador,1933,1933,retrospective_attestation,Ioannes PP. XXIII,,high,1
nuestra-senora-de-la-merced-guayaquil,Nuestra Señora de la Merced,imago Dei Genetricis Mercedoniae,Blessed Virgin Mary,ecclesia paroecialis Beatae Mariae Virginis a Mercede,Guayaquil,Guayaquilensis,Guayaquil,Ecuador,1947-09-08,1947-09-08,retrospective_attestation,Ioannes PP. XXIII,,high,1
dolorosa-del-colegio-quito,Dolorosa del Colegio,simulacrum B. Mariae Virginis Perdolentis,Blessed Virgin Mary,,Quito,Quitensis,Quito,Ecuador,1956-04-22,1956-04-22,retrospective_attestation,Pius PP. XII,,high,1
nuestra-senora-de-guadalupe-la-ceiba-de-guadalup,Nuestra Señora de Guadalupe,imago Beatae Mariae Virginis de Guadalupe,Blessed Virgin Mary,"ecclesia seu sacrarium Beatae Mariae Virginis de Guadalupe, « La Ceiba de Guadalupe »","La Ceiba de Guadalupe, San Salvador",Sancti Salvatoris in America,San Salvador,El Salvador,1953,1953,retrospective_attestation,Ioannes PP. XXIII,,high,1
nuestra-senora-de-la-paz-san-miguel,Nuestra Señora de la Paz,Domina Nostra a Pace,Blessed Virgin Mary,maximum templum Sancti Michaelis,San Miguel,Sancti Michaelis,San Miguel,El Salvador,1920,1920,retrospective_attestation,Paulus PP. VI,,high,1
notre-dame-d-arcachon-arcachon,Notre-Dame d'Arcachon,Deiparae ab « Arcachon » Effigies,Blessed Virgin Mary,Ecclesia paroecialis Nostrae Dominae de « Arcachon » (Basilica Minor),Arcachon,Burdigalensis,Bordeaux,France,1870,1870,retrospective_attestation,Pius PP. XII,,high,1
notre-dame-du-guet-reine-de-la-paix-bar-le-duc,"Notre Dame Du Guet, Reine De La Paix",,Blessed Virgin Mary,Saint-Pierre et Saint-Étienne,Bar-le-Duc,,,France,1920-07-04,1920-07-04,chapter_decree,,,medium,1
notre-dame-d-esperance-briconium-saint-brieuc-br,Notre-Dame d'Esperance,Simulacrum B. Mariae Virginis Dominae Nostrae a Spe,Blessed Virgin Mary,Ecclesia B. Mariae Virginis Dominae Nostrae a Spe (raised to minor basilica by this act),"Briconium (Saint-Brieuc), Brittany",Briocensis et Trecorensis,Saint-Brieuc et Treguier,France,1865,1865,retrospective_attestation,Leo PP. XIII,,medium,1
notre-dame-du-beau-rameau-betharram,Notre-Dame du Beau Rameau,B. Maria V. « du Beau Rameau »,"Blessed Virgin Mary (with the Infant Jesus: two crowns, 'divinae Matris Filiique effigiem')",templum Virginis ad Bétharram (sanctuary served by the Presbyteri sacri Cordis Iesu a Bétharram),Bétharram,Baionensis,Bayonne,France,1912,1912,papal_coronation_act,Pius PP. X,,high,1
notre-dame-de-la-delivrande-douvres-la-delivrand,Notre Dame De La Délivrande,,Blessed Virgin Mary,Basilique Notre-Dame de la Délivrande,Douvres-la-Délivrande,,,France,1872-08-22,1872-08-22,chapter_decree,,,medium,1
notre-dame-des-dunes-dunkerque-dunkirk,Notre-Dame des Dunes,Nostra Domina des Dunes,Blessed Virgin Mary,,Dunkerque (Dunkirk),Cameracensis,Cambrai,France,1903,1903,retrospective_attestation,Leo PP. XIII,,high,1
notre-dame-de-gray-gray,Notre-Dame de Gray,Nostra Domina civitatis « Gray »,Blessed Virgin Mary,Ecclesia paroecialis Nostrae Dominae,Gray,Bisuntina,Besançon,France,1909,1909,retrospective_attestation,Pius PP. XII,,high,1
notre-dame-du-sacre-coeur-issoudun,Notre-Dame du Sacre-Coeur,Domina Nostra a Sacratissimo Corde Iesu,Blessed Virgin Mary,"Sacra Aedes Exsoldunensis (church of the Missionaries of the Sacred Heart, raised to minor basilica by Pius IX, 17 July 1874)",Issoudun,Bituricensis,Bourges,France,1869,1869,retrospective_attestation,Benedictus PP. XV; Leo PP. XIII,"Archiepiscopus Bituricensis (Archbishop of Bourges; personal name not given in the text); Carolus A. de la Tour d'Auvergne, Archiepiscopus Bituricensis (crowned 'nomine decessoris Nostri f. r. Pii IX')",high,2
notre-dame-de-la-guerche-la-guerche-de-bretagne,Notre-Dame de la Guerche,"Beatae Mariae Virginis statua, saeculo XVI sculpta, « Mariae Virginis de la Guerche » celtica lingua nuncupatum",Blessed Virgin Mary,"Ecclesia paroecialis et collegialis B. Mariae Virginis, La Guerche-de-Bretagne",La Guerche-de-Bretagne,Rhedonensis,Rennes,France,1937,1937,retrospective_attestation,Pius PP. XII,"Emmanuel Caelestinus S. R. E. Cardinalis Suhard, then Archbishop of Reims, later of Paris",medium,1
notre-dame-de-bon-secours-lablachere,Notre-Dame de Bon Secours,Beata Maria Virgo de Bono Succursu,Blessed Virgin Mary,Sanctuarium B. M. V. de Bono Succursu (Oblates of Mary Immaculate),Lablachère,Vivariensis,Viviers,France,1880,1880,retrospective_attestation,Pius PP. XI,,high,1
notre-dame-de-lourdes-lourdes,Notre-Dame de Lourdes,simulacrum B. M. V. Lapurdi,Blessed Virgin Mary,,Lourdes,,Tarbes-et-Lourdes,France,,,retrospective_attestation,,,low,1
notre-dame-des-miracles-mauriac,Notre-Dame des Miracles,Beata Maria Virgo a miraculis,Blessed Virgin Mary,Ecclesia Nostrae Dominae a miraculis (Notre-Dame-des-Miracles),Mauriac,Sancti Flori,Saint-Flour,France,1855,1855,retrospective_attestation,Benedictus PP. XV,,high,1
notre-dame-de-sion-mons-sion-sion-vaudemont-loth,Notre-Dame de Sion,Beata Virgo Maria a Monte Sion (Nostra Domina de Monte Sion),Blessed Virgin Mary,Sanctuarium B. M. V. de Monte Sion (Oblatorum B. M. V. Immaculatae),"Mons Sion (Sion-Vaudémont), Lotharingia",Nanceiensis et Tullensis,Nancy-Toul,France,1873,1873,retrospective_attestation,Pius PP. XI,Cardinalis Archiepiscopus Bisuntinus (Summi Pontificis Legatus; name not stated),high,1
nostra-domina-a-tabulis-montpellier-mons-pessula,,Nostra Domina a Tabulis,Blessed Virgin Mary,Ecclesia Nostrae Dominae a Tabulis,Montpellier (Mons Pessulanus),Montis Pessulani,Montpellier,France,,,retrospective_attestation,Pius PP. XII,,high,1
