series,volume,year,page,act_number,act_type,pope,citation,source_pdf_url,evidence_type,rubric_latin,incipit_latin,image_title_latin,image_title_vernacular,image_subject,church_or_sanctuary,locality,diocese_latin,diocese_modern,country,act_date,coronation_date,legate,confidence,notes
AAS,32,1940,484,III,Litterae Apostolicae,Pius PP. XII,"AAS 32 (1940), p. 484",https://www.vatican.va/archive/aas/documents/AAS-32-1940-ocr.pdf,retrospective_attestation,"BASILICAE MINORIS HONORIBUS DECORATUR TEMPLUM-SANCTUARIUM BEATAE MARIAE VIRGINIS DE « COPACABANA », INTRA FINES DIOECESIS PACENSIS IN BOLIVIA.","Bolivianae ditionis intra fines, in dioecesi Pacensi, exstat antiquum templum-sanctuarium Beatae Mariae Virginis de « Copacabana »",Deiparae Virginis statua de « Copacabana »,,Blessed Virgin Mary,Templum-sanctuarium B. M. V. de Copacabana (Ordinis Minorum),Copacabana,Pacensis,La Paz,Bolivia,1940-07-02,,,medium,"Coronation mentioned only in passing and without date or agent: 'Deiparae Virginis statua in eodem honorifice servatur, quam recentiori tempore sollemniter etiam aureo diademate redimitam, boliviani christifideles peculiari cultu venerantur'. Papal authority for the crowning is not explicitly stated, hence medium confidence."
AAS,32,1940,543,II,Litterae Apostolicae,Pius PP. XII,"AAS 32 (1940), p. 543",https://www.vatican.va/archive/aas/documents/AAS-32-1940-ocr.pdf,papal_coronation_act,"BEATA MARIA VIRGO SUB TITULO «DEL CORO», CORONA REDIMITA, CIVITATIS SANCTI SEBASTIANI IN DIOECESI HISPANIAE VICTORIENSI PATRONA DECLARATUR.",Urbis Sancti Sebastiani intra fines Victoriensis dioecesis in ecclesia paroeciali matrici Sanctae Mariae iam ab annis multis religiosissime asservatur imago Beatae Virginis Mariae vulgo «Virgen del Coro» nuncupata,Beata Maria Virgo a Choro (sub titulo «del Coro»),Virgen del Coro,Blessed Virgin Mary,Ecclesia paroecialis matrix Sanctae Mariae,San Sebastian (Urbs Sancti Sebastiani),Victoriensis,Vitoria,Spain,1940-07-16,,,high,"Combined patron-declaration and coronation grant: the Bishop of Vitoria is charged to crown the image in the Pope's name on a day of his own choosing - 'Venerabili Fratri Victoriensium Episcopo eas partes committimus, ut arbitrio suo eligendo die ... Imaginem Beatae Virginis a Choro praedictam per se ipsum vel per ecclesiasticum virum in dignitate constitutum, et ab eodem deputandum, iuxta ritum formulamque praescripta aureo diademate, servatis servandis, Nostro nomine et auctoritate, post Missarum sollemnia, redimiat'. No legate is named (the ordinary or his delegate). Incipit ('Urbis Sancti Sebastiani') confirmed by the volume index on p. 583."
AAS,32,1940,545,IV,Litterae Apostolicae,Pius PP. XII,"AAS 32 (1940), p. 545",https://www.vatican.va/archive/aas/documents/AAS-32-1940-ocr.pdf,retrospective_attestation,"BEATA MARIA VIRGO SUB TITULO DE «OCOTLAN» TOTIUS ARCHIDIOECESIS ANGELORUM, MEXICANA IN DITIONE, PATRONA COELESTIS CONFIRMATUR.","Mexicana in ditione archidioecesis Angelorum intra fines exstat Sanctuarium Beatae Mariae Virginis de «Ocotlan» nuncupatae, quam christifideles regionis impense devoteque colunt.",Beata Maria Virgo Immaculata de Ocotlan,,Blessed Virgin Mary,Sanctuarium B. Mariae Virginis de Ocotlan,Ocotlan (provincia Tlaxcalensis),Angelorum (archidioecesis; olim dioecesis de Tlaxcala),Puebla de los Angeles,Mexico,1940-09-08,,,high,"Patron confirmation. Attestation: 'iam rec. mem. Decessorem Nostrum Pium Pp. X aureo diademate decrevisse Sacram Imaginem Beatae Mariae Immaculatae in sanctuario de Ocotlan servatae coronari' - so the coronation was decreed by Pius X (1903-1914); no date given. The act was issued on the occasion of the 4th centenary of the finding of the image, to be commemorated in 1941."
AAS,33,1941,326,II,Litterae Apostolicae,Pius PP. XII,"AAS 33 (1941), p. 326",https://www.vatican.va/archive/aas/documents/AAS-33-1941-ocr.pdf,retrospective_attestation,"ARCHIPRESBYTERALE TEMPLUM, CIVITATIS AC DIOECESIS COMENSIS INTRA FINES, IN HONOREM S. GEORGII MARTYRIS DEO DICATUM, TITULO BASILICAE MINORIS CONDECORATUR.","Comensi in civitate ac dioecesi exstat antiquum templum archipresbyterale in honorem Sancti Georgii Martyris Deo dicatum, quod Sancti Euthychii Episcopi Comensis titulo etiam honestatur",Nostra Domina a Sacro Corde (Iesu),,Blessed Virgin Mary,Templum archipresbyterale S. Georgii Martyris,Como,Comensis,Como,Italy,1941-02-11,,"Andreas Carolus Ferrari, S.R.E. Cardinalis, Archiepiscopus Mediolanensis",high,"Basilica Minor grant. Attestation: 'Nostrae Dominae a Sacro Corde simulacrum, quod eadem in ecclesia custoditur, magni pretii coronis redimitum, quas nomine Decessoris Nostri Benedicti Pp. XV, pretiosorum quoque lapidum quibus ipsae coronae sunt contextae munifici donatoris, Sanctae Romanae Ecclesiae Cardinalis recolendae memoriae Andreas Ferrari, Mediolanensium Archiepiscopus uti Legatus imposuit'. OCR reads 'Andreas Perrari' and 'redimitimi'; repaired. Crowned in the name of Benedict XV (so 1914-1921, Ferrari d. Feb. 1921); no date given. Passage printed_page 327, but the act begins on p. 326 (verified in the volume text)."
AAS,33,1941,447,,Litterae Apostolicae,Pius PP. XII,"AAS 33 (1941), p. 447",https://www.vatican.va/archive/aas/documents/AAS-33-1941-ocr.pdf,retrospective_attestation,"ECCLESIA CATHEDRALIS CAIAMARCENSIS, TITULO B. MARIAE VIRG. «A VALLE», BASILICAE MINORIS PRIVILEGIIS HONORIBUSQUE AUGETUR.","Postulat a Nobis Venerabilis Frater Catamarcensium Episcopus, intra fines Reipublicae Argentinae, quinquagesimi anni occasione ab imposita corona aurea, qua statua Beatae Mariae Virginis a Valle ... redimita fuit",Beata Maria Virgo a Valle,,Blessed Virgin Mary,Ecclesia Cathedralis Catamarcensis,Catamarca,Catamarcensis,Catamarca,Argentina,1941-07-02,1891,,high,"Basilica Minor grant made on the fiftieth anniversary of the crowning: 'quinquagesimi anni occasione ab imposita corona aurea, qua statua Beatae Mariae Virginis a Valle, in templo Cathedrali suo servata, redimita fuit'. coronation_date 1891 is computed from that fifty-year interval (act dated 1941), not stated explicitly - please verify. Rubric OCR 'CAIAMARCENSIS' for 'CATAMARCENSIS'; the body reads 'Catamarcensium Episcopus'. Datum reads 'die u m. Iulii' (= II, 2 July). No act numeral: the section heading is a bare 'LITTERAE APOSTOLICAE'."
AAS,33,1941,482,I,Litterae Apostolicae,Pius PP. XII,"AAS 33 (1941), p. 482",https://www.vatican.va/archive/aas/documents/AAS-33-1941-ocr.pdf,retrospective_attestation,"TEMPLUM SANCTI FRANCISCI ASSISIENSIS SEU SANCTUARIUM B. MARIAE VIRG. IMMACULATAE, IN CIVITATE AGRIGENTINA EXSTANS, BASILICIS MINORIBUS ACCENSETUR.",Refert ad Nos Venerabilis Frater Agrigentinus Episcopus intra fines civitatis suae episcopalis conspicuum titulo Sancti Francisci Assisiensis templum exstare,Beata Maria Virgo Immaculata,,Blessed Virgin Mary,"Templum Sancti Francisci Assisiensis, seu Sanctuarium B. Mariae Virginis Immaculatae",Agrigento,Agrigentina,Agrigento,Italy,,1940,,medium,"Basilica Minor act; coronation attested in passing: 'anno proxime elapso Marianum ipsum simulacrum, Decreto Capituli Sacrosanctae Basilicae Vaticanae aurea corona est honestatum'. Coronation year 1940 derived from 'anno proxime elapso' relative to the act's year (MCMXXXXI); the year itself is not printed. Act day OCR-damaged: 'die rr m. Iulii, an. MCMXXXXI' (probably 'die II'), so act_date left null. Venerated image is a wooden statue ('veneranda lignea statua')."
AAS,34,1942,32,III,Litterae Apostolicae,Pius PP. XII,"AAS 34 (1942), p. 32",https://www.vatican.va/archive/aas/documents/AAS-34-1942-ocr.pdf,retrospective_attestation,"BASILICAE MINORIS HONORIBUS DECORATUR TEMPLUM IN HONOREM S. MARTINI EP. DEO DICATUM SEU SANCTUARIUM DEIPARAE A MONTE CARMELO, IN URBE BONONIENSI ORDINI FRATRUM CARMELITARUM CONCREDITUM.","Bononiensi in urbe templum in honorem Sancti Martini Episcopi Deo dicatum exstat, curis ministerioque concreditum Ordinis Fratrum Carmelitarum",Beata Maria Virgo de Monte Carmelo,,Blessed Virgin Mary,"Templum Sancti Martini Episcopi, seu Sanctuarium Deiparae a Monte Carmelo",Bologna,Bononiensis,Bologna,Italy,1941-08-28,1704,,high,"Passage printed_page was 33; the act begins on printed p. 32, used here. Text: 'quodque aureo diademate, Capituli Vaticani decreto iam anno millesimo septingentesimo quarto exornatum, ab hodierno Archiepiscopo ... Ioanne Baptista S.R.E. Cardinali Nasalli Rocca di Corneliano iterum anno millesimo nongentesimo trigesimo nono decoratum est' — i.e. first crowned 1704 by decree of the Vatican Chapter, re-crowned 1939 by Card. Nasalli Rocca."
AAS,34,1942,220,II,Litterae Apostolicae,Pius PP. XII,"AAS 34 (1942), p. 220",https://www.vatican.va/archive/aas/documents/AAS-34-1942-ocr.pdf,papal_coronation_act,"BEATA MARIA VIRGO, SUB TITULO « DE URIBARRI », QUAE IN OPPIDO « DURANGO » VICTORIENSIS DIOECESIS VENERATUR, TOTIUS ARCHIPRESBYTERALIS REGIONIS DURANGUENSIS PATRONA COELESTIS DECLARATUR.","Victoriensis dioecesis intra fines, in oppidi « Durango » nuncupati templo archipresbyterali, Imago quaedam Beatae Mariae Virginis religiosissime colitur sub populari titulo « de Uribarri »",Beata Maria Virgo de Uribarri,Nuestra Señora de Uribarri,Blessed Virgin Mary,Templum archipresbyterale de Durango,Durango (Vizcaya),Victoriensis,Vitoria,Spain,1942-05-01,,,high,"Patron declaration that also grants the coronation: 'ut Imaginem eandem corona Nomine Nostro redimiri decerneremus ... ipsi Venerabili Fratri Episcopo titulo Siandensi, Victoriensis dioecesis Apostolico Administratori, eas partes committimus ut Imaginem ... aureo diademate, nomine atque auctoritate Nostris, sollemniter redimiat'. The executor is the titular Bishop of 'Siandensis', Apostolic Administrator of Vitoria; his personal name is not given in the act, so legate left null. Date of coronation left to him ('die ab eodem statuendo'). Passage printed_page was 221; act begins on printed p. 220. Vernacular title supplied as the Spanish form of the Latin 'de Uribarri' (only the Latin form appears)."
AAS,35,1943,251,,Litterae Apostolicae,Pius PP. XII,"AAS 35 (1943), p. 251",https://www.vatican.va/archive/aas/documents/AAS-35-1943-ocr.pdf,retrospective_attestation,"PAROECIALIS CONLEGIATAQUE ECCLESIA, IN « TAGGIA » INTRA FINES VENTIMILIENSIS DIOECESIS, SUB TITULO SANCTORUM IACOBI ET PHILIPPI ERECTA, DIGNITATE AC TITULO BASILICAE MINORIS DECORATUR.","Ventimiliensium Episcopus Nos edocet castri satis perspicui, quod intra fines dioecesis suae « Taggia » nuncupant, paroecialem titulo sanctorum Iacobi et Philippi ecclesiam",Sacrum Cor Immaculatum Beatae Mariae Virginis,,Blessed Virgin Mary,Ecclesia paroecialis et conlegiata Sanctorum Iacobi et Philippi (Sanctuarium Mariale),Taggia,Ventimiliensis,Ventimiglia,Italy,1943-02-12,1856,,high,"Basilica Minor act; coronation attested in passing: 'apud Sanctuarium eiusdem thaumaturgae imaginis, quae iam anno millesimo octingentesimo quinquagesimo sexto aurea corona exornata est'. Image described as 'Sacri Cordis Immaculati Beatae Mariae Virginis simulacrum'; no crowning authority named."
AAS,35,1943,359,,Nuntius radiophonicus,Pius PP. XII,"AAS 35 (1943), p. 359",https://www.vatican.va/archive/aas/documents/AAS-35-1943-ocr.pdf,retrospective_attestation,"NUNTIUS RADIOPHONICUS A BEATISSIMO PATRE, DIE XXXI MENSIS OCTOBRIS ANNO MCMXXXXIII, IN FESTO D. N. IESU CHRISTI REGIS, CHRISTIFIDELIBUS DATUS, OB III CONVENTUM EUCHARISTICUM E TOTA PERUVIANA NATIONE IN URBE TRUXILLENSI COADUNATIS",,,Virgen de la Puerta,Blessed Virgin Mary,,,,,Peru,1943-10-31,1943,,medium,"Radio message of Pius XII closing the 3rd Peruvian National Eucharistic Congress at Trujillo. Spanish original, p. 356: 'para que Tu, Virgen de la Puerta, solemnemente coronada el pasado miercoles'; Italian version, p. 359 (this passage): 'Tu, Vergine della Puerta, incoronata solennemente lo scorso mercoledi'. The source names only the devotional title, never an image, and does not state under whose authority the crowning took place; it is the Pope himself who acknowledges it, and the Congress was presided by his Legate. The act begins on p. 353 (Spanish) with the Italian version beginning p. 357; the rubric above is transcribed from p. 353, not from this passage. 'Last Wednesday' relative to the stated act date (31 October 1943, a Sunday) would be 27 October 1943, but the passage does not give a date, so only the year is recorded. Also greeted in the same sentence is 'Nuestra Senora del Socorro' of Huanchaco, of whom no crowning is said."
AAS,36,1944,152,II,Decretum (Sacra Rituum Congregatio),Pius PP. XII,"AAS 36 (1944), p. 152",https://www.vatican.va/archive/aas/documents/AAS-36-1944-ocr.pdf,retrospective_attestation,"NEAPOLITANA. BEATIFICATIONIS ET CANONIZATIONIS VENERABILIS SERVI DEI PLACIDI BACCHER, SACERDOTIS SAECULARIS E TERTIO ORDINE S. DOMINICI. SUPER DUBIO","In Neapolitana civitate, fecunda Servorum Dei altrice, e nobili prosapia, ortus est Placidus Baccher die 5 Aprilis a. 1781 eodemque die baptizatus est",Simulacrum Beatissimae Virginis (Immaculatae Conceptionis),,Blessed Virgin Mary,Ecclesia « Gesù Vecchio »,Naples,Neapolitana,Naples,Italy,1944-02-27,,,medium,"Decree on the heroic virtues of Ven. Placido Baccher; coronation mentioned only in passing: '...atque erga Beatissimam Virginem, cuius immaculati conceptus doctrinam, ante dogmaticam definitionem, strenue defendit, cuius etiam simulacrum in sua Ecclesia veneratum, a Vaticano Capitulo corona decorandum curavit'. No date; the image is the one venerated in the church 'Gesù Vecchio' in Naples of which Baccher was rector. Passage printed_page 153; decree opens on p. 152."
AAS,37,1945,254,III,Epistula,Pius PP. XII,"AAS 37 (1945), p. 254",https://www.vatican.va/archive/aas/documents/AAS-37-1945-ocr.pdf,retrospective_attestation,"AD EMUM P. D. RODRIGUUM S. R. E. CARD. VILLENEUVE, ARCHIEPISCOPUM QUEBECENSEM, QUEM LEGATUM MITTIT AD CONVENTUM MARIALEM AD SANCTUARIUM B. MARIAE VIRGINIS GUADALUPENSIS MEXICOPOLI CELEBRANDUM.","Mater spei et gratiae Deipara Virgo cum ubique terrarum sacraria, ubi perpeti benignitate filiis alumnisque suis cuiuslibet generis solamina largitur",B. Virginis Mariae Guadalupensis effigies,Nuestra Señora de Guadalupe,Blessed Virgin Mary,Templum Guadalupense,Mexico City,,Mexico City,Mexico,1945-09-24,1895,,medium,"Letter deputing Card. Villeneuve as Legate to the Marian Congress (NOT to a coronation); it attests the earlier coronation in passing: 'cum quinquagesimus feliciter plenus annus decurrat, ex quo B. Virginis Mariae effigies aureo serto redimita est'. Coronation year 1895 is computed from the fiftieth year running in 1945, not stated verbatim; day/month not given. Legate field left null because the deputation is for the congress, not the crowning. Passage printed_page 255; letter opens on p. 254."
AAS,37,1945,264,II,Nuntius radiophonicus,Pius PP. XII,"AAS 37 (1945), p. 264",https://www.vatican.va/archive/aas/documents/AAS-37-1945-ocr.pdf,retrospective_attestation,"CHRISTIFIDELIBUS DATUS DIE XII MENSIS OCTOBRIS A. MCMXLV, OB MARIALEM CONVENTUM AD SANCTUARIUM B. MARIAE V. GUADALUPENSI MEXICOPOLI COADUNATIS","Venerables Hermanos y amados hijos que, reunidos en torno a la persona de Nuestro dignisimo Cardenal Legado, conmemorais los cincuenta anos de la coronacion canonica de la Virgen de Guadalupe",B. Maria V. Guadalupensis,Virgen de Guadalupe,Blessed Virgin Mary,"Sanctuarium B. Mariae V. Guadalupensis (the Basilica, 'la Basilica, recien restaurada')",Mexicopolis (Mexico City),,,Mexico,1945-10-12,1895-10-12,,high,"Radio message for the Marian congress marking the fiftieth anniversary of the canonical coronation of the Virgin of Guadalupe: 'conmemorais los cincuenta anos de la coronacion canonica de la Virgen de Guadalupe' and 'Hace hoy cincuenta anos ... cuando sobre aquella frente angelical resplandecio la aurea corona'. Coronation date derived from 'today fifty years ago' relative to the act date 12 October 1945. Body is in Spanish, so incipit_latin holds the Spanish opening verbatim (accents lost in OCR). The Cardinal Legate is not named in the text. The act begins on this page (264); the same act continues to p. 267, where a further papal act is recorded separately."
AAS,37,1945,267,II,Nuntius radiophonicus,Pius PP. XII,"AAS 37 (1945), p. 267",https://www.vatican.va/archive/aas/documents/AAS-37-1945-ocr.pdf,papal_personal_coronation,"CHRISTIFIDELIBUS DATUS DIE XII MENSIS OCTOBRIS A. MCMXLV, OB MARIALEM CONVENTUM AD SANCTUARIUM B. MARIAE V. GUADALUPENSI MEXICOPOLI COADUNATIS",,B. Maria V. Guadalupensis,Virgen de Guadalupe,Blessed Virgin Mary,Sanctuarium B. Mariae V. Guadalupensis (the Basilica),Mexicopolis (Mexico City),,,Mexico,1945-10-12,1945-10-12,,medium,"Same act as AAS-37-1945-ocr#g264 (act begins on p. 264; this passage carries pp. 266-268). Pius XII, speaking in the first person to the congress gathered round his Cardinal Legate, says: 'Nos, a quien la admirable disposicion de la Divina Providencia confio ... el sagrado tesoro de la divina sabiduria en la tierra ... Nos colocamos hoy de nuevo sobre tus sienes la corona, que pone para siempre bajo tu poderoso patrocinio la pureza y la integridad de la santa fe en Mejico y en todo el continente americano'. This is a re-crowning (a new crown placed 'de nuevo') declared by the Pope by radio while an unnamed Cardinal Legate presided in person, not a first canonical coronation and not a coronation performed by the Pope's own hand; classified papal_personal_coronation because the Pope himself states he places the crown. The source never uses a word for 'image', naming only the devotional title."
AAS,38,1946,264,,Nuntius radiophonicus,Pius PP. XII,"AAS 38 (1946), p. 264",https://www.vatican.va/archive/aas/documents/AAS-38-1946-ocr.pdf,retrospective_attestation,"NUNTIUS RADIOPHONICUS A BEATISSIMO PATRE, DIE XIII MENSIS MAII A. MCMXLVI, LUSITANIAE CHRISTIFIDELIBUS DATUS, SOLLEMNIA CELEBRANTIBUS AD SANCTUARIUM B. MARIAE V. A FATIMA, AUREA CORONA NOMINE SUMMI PONTIFICIS REDIMITAE.",,B. Maria V. a Fatima,Nossa Senhora de Fátima,Blessed Virgin Mary,Sanctuarium B. Mariae V. a Fatima,Fátima,,,Portugal,1946-05-13,1946-05-13,,high,"Assigned passage is the volume index (printed p. 461); the document itself is the radio message at printed p. 264, used as aas_page. Body is Portuguese: 'por mäo do Nosso Cardeal Legado, acabamos de coroar a Imagem taumaturga' — the Pope crowned the image through an unnamed Cardinal Legate, so legate left null. Country explicit ('Lusitaniae christifidelibus'). Classified retrospective_attestation because the document is a homiletic radio message attesting the coronation just performed, not the deputation act itself."
AAS,38,1946,376,I,Epistula,Pius PP. XII,"AAS 38 (1946), p. 376",https://www.vatican.va/archive/aas/documents/AAS-38-1946-ocr.pdf,papal_legate_deputation,"AD EMUM P. D. BENEDICTUM TIT. SANCTAE MARIAE IN VALLICELLA S. R. E. PRESBYTERUM CARDINALEM ALOISI MASELLA, QUEM LEGATUM MITTIT AD CORONAM APPONENDAM SIMULACRO B. MARIAE V. DE FATIMA.","Celeberrima sollemnia, quae abhinc annos quattuor flagrantissima animorum pietate in honorem Beatae Mariae Virginis de Fatima a Lusitaniae fidelibus peracta sunt",Perinsignis imago Nostrae Dominae de Fatima,Nossa Senhora de Fátima,Blessed Virgin Mary,Sanctuarium de Fatima (Cova da Iria),Fátima,,,Portugal,1946-04-28,1946-05-13,Benedictus S. R. E. Cardinalis Aloisi Masella,high,"Reached from the back-of-volume index passage (p. 494: 'Coronatio: ... simulacri B. Mariae V. de Fatima, 267, 376'); the act itself is the Epistula on p. 376: 'perinsignem imaginem Nostrae Dominae de Fatima sollemni ritu coronandam censuimus ... Legatum Nostrum deligimus ac renuntiamus, ut in Sanctuario de Fatima inditam Beatae Mariae Imaginem nomine Nostro Nostraque auctoritate aureo diademate exornes'. The coronation itself is recorded in the papal radio message of 13 May 1946, AAS 38 (1946) pp. 264-267, rubric 'NUNTIUS RADIOPHONICUS ... SOLLEMNIA CELEBRANTIBUS AD SANCTUARIUM B. MARIAE V. A FATIMA, AUREA CORONA NOMINE SUMMI PONTIFICIS REDIMITAE' ('por mão do Nosso Cardeal Legado, acabamos de coroar a Imagem taumaturga'). Diocese (Leiria) not named in either text."
AAS,39,1947,439,,Litterae Apostolicae,Pius PP. XII,"AAS 39 (1947), p. 439",https://www.vatican.va/archive/aas/documents/AAS-39-1947-ocr.pdf,retrospective_attestation,"ECCLESIA PRAEPOSITURALIS SANCTI VICTORIS MARTYRIS, IN OPPIDO VULGO «MISSAGLIA» NUNCUPATO, INTRA FINES MEDIOLANENSIS ARCHIDIOECESIS, BASILICAE MINORIS TITULO AC DIGNITATE DECORATUR.","Piissima eximiaque, intra Archidioeceseos Mediolanensis fines, regio, cui vulgo « Brianza » est nomen, splendida praedita est gemma",Simulacrum Beatae Mariae Virginis in Caelum Assumptae,,Blessed Virgin Mary,Ecclesia Praeposituralis Sancti Victoris Martyris (Sanctuarium),Missaglia,Mediolanensis,Milan,Italy,1946-07-30,,,low,"Basilica Minor act; the only coronation reference is 'sollemni caerimonia integri saeculi, primi ex quo Cultui patet Praeposituralis Ecclesia, tertii ab Incoronatane [= Incoronatione] Simulacri' — i.e. the August 1947 celebrations mark the third centenary of the crowning of the statue (so c. 1647), but no year and NO papal authority are stated, hence low confidence; a checker should decide whether it belongs in scope. Passage printed_page is 441; the act opens on printed p. 439, used as aas_page. Country inferred from 'Archidioeceseos Mediolanensis'. Church name OCR'd 'Praeposituralis'."
AAS,39,1947,627,II,Nuntius radiophonicus,Pius PP. XII,"AAS 39 (1947), p. 627",https://www.vatican.va/archive/aas/documents/AAS-39-1947-ocr.pdf,retrospective_attestation,A SUMMO PONTIFICE CHRISTIFIDELIBUS DATUS OB CONVENTUM MARIALEM E TOTA ARGENTINA IN URBE LUJAN COADUNATIS.,,,La Pura y Limpia Concepción del Río Luján (Nuestra Señora de Luján),Blessed Virgin Mary,Santuario de Nuestra Señora de Luján (basilica with two towers),Luján,,,Argentina,1947-10-12,1887,,high,"The passage recalls marble tablets in the sanctuary commemorating 'la solemne coronación de 1887 — la primera en América' and the 1930 recognition of her Patrocinio over the lands of the Plata. Only the year 1887 is given. Act begins on printed page 627 (rubric visible in context); the passage's own printed_page is 628. Body in Spanish, no Latin incipit."
AAS,40,1948,102,,Litterae Apostolicae,Pius PP. XII,"AAS 40 (1948), p. 102",https://www.vatican.va/archive/aas/documents/AAS-40-1948-ocr.pdf,papal_personal_coronation,CATHEDRALIS ECCLESIA DEO IN HONOREM SANCTI MICHAELIS ARCHANGELI DICATA IN CIVITATE AC DIOECESI SANCTI ANGELI IN VADO TITULO AC DIGNITATE BASILICAE MINORIS DECORATUR.,"Arridet in caelis Beatissima Deipara Virgo Maria « quasi aurora consurgens », « pulchra ut luna, electa ut sol »",Virgo Maria « a Planctu »,Madonna del Pianto,Blessed Virgin Mary,Sacellum B. Mariae Virginis « a Planctu » (the Basilica title is granted to the Cathedral of St Michael Archangel),Sant'Angelo in Vado,Sancti Angeli in Vado,Sant'Angelo in Vado,Italy,1947-08-12,1947-08-11,,high,"Pius XII crowned the image with his own hand at Castel Gandolfo: 'Simulacrum Virginis Mariae « a Planctu » aureo diademate ipsa manu Nostra redimire voluimus in Arce Gandulphi die xi huius mensis Augusti'; the act is 'Datum ex Arce Gandulphi ... die xii mensis Augusti, anno MCMXXXXVII', so the coronation date is 11 Aug 1947. Passage printed_page was 103; act begins on printed p. 102."
AAS,40,1948,239,IV,Litterae Apostolicae,Pius PP. XII,"AAS 40 (1948), p. 239",https://www.vatican.va/archive/aas/documents/AAS-40-1948-ocr.pdf,retrospective_attestation,"ECCLESIA DEO IN HONOREM SANCTI SYRI, IN CIVITATE « SANREMO », VENTIMILIENSIS DIOECESIS DICATA, HONORIBUS BASILICAE MINORIS INSIGNITUR.","« Vere non est hic aliud, nisi domus Dei et porta Caeli ». Quod recte dicitur de qualibet aede sacra, etiam in angusto vico remota",Beata Maria Virgo de Rosario,Madonna del Rosario,Blessed Virgin Mary,"Ecclesia Sancti Syri (paroecialis et collegiata), Marialis Sanctuarii titulo pollens",Sanremo,Ventimiliensis,Ventimiglia,Italy,1947-10-07,1946-10,"Federicus Tedeschini, S.R.E. Cardinalis, Archipresbyter of the Vatican Basilica",medium,"Basilica Minor act; coronation attested in passing: 'quamque, superiore anno, mense Octobri, Dilectus Filius Noster Fridericus S.R.E. Presbyter Cardinalis Tedeschini ... aurea corona sollemniter redimivit'. 'superiore anno' relative to the act date (7 Oct 1947) gives October 1946; the year is not printed, hence medium confidence. Image is the 'Effigies Beatae Mariae Virginis de Rosario, Urbis Patronae'; vernacular title supplied as the Italian form of the Latin."
AAS,40,1948,290,,Litterae Apostolicae,Pius PP. XII,"AAS 40 (1948), p. 290",https://www.vatican.va/archive/aas/documents/AAS-40-1948-ocr.pdf,retrospective_attestation,"SANCTUS NICOLAUS BARENSIS, EP. ET CONF., CIVITATIS AC DIOECESIS RIOIENSIS, IN REPUBLICA ARGENTINA, PRIMUS AC PRAECIPUUS PATRONUS CAELESTIS CONSTITUITUR.","Perennem esse Religionem a Christo Domino revelatam, hoc et de fide est, et a saeculari Ecclesiae historia comprobatum",Antiquum Simulacrum Sancti Nicolai Barensis,,"other (St Nicholas of Bari, Bishop and Confessor)","Sanctuarium S. Nicolai Barensis, ecclesia cathedralis Rioiensis",La Rioja,Rioiensis,La Rioja,Argentina,1946-12-06,1920,,high,"Patron-declaration act attesting the crowning: '...usque ad Decessorem Nostrum Pius Pp. X, fel. rec., qui, anno MCMXIII, aureum diadema, a semetipso benedictum, donavit, ut Eiusdem Simulacro imponeretur; quod tamen serius factum est, anno MCMXX, Decessore Nostro Benedicto Pp. XV ... feliciter regnante.' Crowned image is of a saint, not of the Virgin. Letter dated 1946 but printed in AAS vol. 40 (1948); the act carries no roman numeral (single Litterae Apostolicae in that issue). Passage printed_page 291; act opens on p. 290."
AAS,40,1948,362,I,Litterae Apostolicae,Pius PP. XII,"AAS 40 (1948), p. 362",https://www.vatican.va/archive/aas/documents/AAS-40-1948-ocr.pdf,retrospective_attestation,"AD TITULUM AC DIGNITATEM BASILICAE MINORIS EVEHITUR TEMPLUM B. MARIAE V. A SACRATISSIMO ROSARIO IN URBE « TALPA », DIOECESIS TEPICENSIS, EXSTANS","Mirum in modum conspicitur, in loco eminens perexcelso atque edito, in parva urbe « Talpa » vulgo nuncupata, Tepicensis intra fines dioecesis, pulcherrimum Deo in honorem Beatissimae Virginis Mariae a Sacratissimo Rosario dicatum Sanctuarium",Beatissima Virgo Maria a Sacratissimo Rosario,,Blessed Virgin Mary,Sanctuarium (Templum) B. Mariae V. a Sacratissimo Rosario,Talpa,Tepicensis,Tepic,Mexico,1946-11-27,1923,,high,"Basilica Minor elevation that attests the crowning in passing: 'Re vera ipsa Deiparae Virginis Imago, pretiosissima in Templo gemma, aureo fulgens diademate, quo sollemniter anno MCMXXIII per Capituli Vaticani decretum redimita est'. The act begins on printed p. 362 (this passage's printed_page is 364, the middle of a three-page window); the diadem sentence stands on p. 363. Rubric OCR read 'TEMPLUMR. MARIAE V.'; repaired to 'TEMPLUM B. MARIAE V.'. The vernacular title (Nuestra Senora del Rosario de Talpa) is not given in the text, so the field is left null. Country inferred from the diocese of Tepic and the intervention of Aloisius Maria Martinez, Archiepiscopus Mexicanus, both named in the act."
